taxonomy_id,S1,S2,S3,S4,S5,S6,S7
817,9095006,7280104,1756282,103173,281683,274990,312007
371601,4732445,127958,1127920,101472,1085456,280088,745771
818,1749047,226264,779418,267561,547299,242453,509219
820,997772,589590,1435836,1156258,2481611,1793752,1076842
329854,587551,6369,11882,51150,19433,24303,195096
28116,801227,210506,344274,230743,578487,167580,5849687
2715212,55490,9501,16055,9587,12937,19636,51218
2763022,68034,16556,29072,12050,33343,10790,338975
2847299,180068,19551,57111,25022,160445,59494,181565
556259,57338,12968,18395,7839,28477,5096,217953
2785531,95102,29836,78068,58327,108523,153267,81780
2528203,38557,11573,49701,66244,56420,104414,45088
2755405,21820,7381,58773,24310,47414,43349,31239
2162637,159156,32294,86088,66768,183437,109519,89331
2709390,4846,1379,2922,2206,11292,320,3961
2972761,4783,4086,642,585,9105,6113,96729
46506,240838,2513401,9361340,1270999,47605,85151,53826
674529,166326,114496,40126,21881,68524,268849,54536
2650158,150423,7235,56820,9801,27445,8913,99039
1796613,137056,6870,29827,14290,25798,16068,67959
28111,113447,93580,299653,48293,33201,32677,26819
47678,60158,920022,32341,66160,750101,1085154,578416
2650157,59914,24370,175169,58974,20981,29522,51453
291644,49738,37071,91159,39023,425121,66085,95461
246787,52523,31438,19160,30576,19585,40022,261496
291645,19795,9347,9164,13508,28514,24766,25014
2792859,57276,15313,98734,54598,116636,133573,107495
290053,16307,7826,12353,9450,9845,21197,11793
28113,9938,4024,4995,6192,6445,16405,7011
28119,8751,6013,4369,6836,6001,18424,5899
151276,2654,893,691,2060,1422,4053,2067
821,2580349,3550379,5748932,1277538,8678183,8941669,11591700
357276,186625,190679,274723,76660,383129,471625,560221
387090,66311,32585,6767,95435,74422,315655,27056
376805,49282,11834,6060,47128,32526,98751,16953
823,2007916,986909,1757694,209455,749747,620970,609122
46503,947141,217156,764250,531930,273766,188602,193309
387661,201645,217402,192284,84905,135573,158351,152971
328812,10762,17444,75492,7001,10055,17761,7849
1217282,5670,5169,3767,4801,3166,10344,7322
2025876,67405,83161,67085,5976,20571,39627,23815
28112,1184,1163,414,1485,1155,3556,1108
712710,1023,1854,454,1025,1677,469,876
328813,737294,25066,22673,92458,572703,7874,14618
2585118,69250,74494,61136,95015,69454,7474,24235
2364787,40658,5626,6890,14052,39766,5798,3239
214856,45521,14793,130681,31142,112303,8870,16898
1470347,33376,825,4133,2002,11818,821,1523
1288121,32611,8643,29011,22875,44907,2583,4261
328814,20702,206198,305981,315341,675296,5469,36676
2585119,16877,2697,12973,10155,35152,932,6162
626932,4252,13410,4970,5967,327406,1821,2534
2662363,3714,1574,22705,2369,4758,1749,1761
28118,643406,45927,123415,81351,453603,43812,8319
544645,9982,85642,50711,46799,1540,2080,1026
2093856,7248,17680,28825,11358,11694,7043,4885
2691580,1773,15902,415,1852,1562,3507,624
652716,1460,3903,628,945,2249,1089,614
2913621,1161,8585,812,1523,2481,4442,1251
2913616,1008,12353,250,1306,3313,2927,734
2913620,906,6346,139,1099,1580,1796,404
2937774,632,10128,134,1135,1814,2610,491
712471,611,10242,575,1087,1302,1888,744
2913617,281,9651,151,1481,2904,3156,320
2913619,255,9904,,1291,482,3700,513
2913618,1187,5994,,,,,
165179,5420,152821,2153,6269,13736648,40607,31910
28132,4062,45124,4021,4844,7969,9145,4796
28131,3923,28702,6829,2699,4787,6778,2739
28127,4404,40925,1499,2870,9253,9402,1615
28129,1869,29203,796,1802,3070,3374,771
77095,1425,17579,2160,2060,22528,5354,1283
839,1394,18532,141,2020,3734,5660,664
1177574,1768,19914,968,2123,21878,1401,1577
2801997,1150,5830,73,1455,2204,3003,476
589436,1021,12629,292,1194,640,2238,2328
28135,781,9671,357,1356,1235,4157,389
28133,1156,8201,227,1532,1537,2480,684
28137,857,13132,117,677,384,1656,396
589437,981,6528,431,985,671,1971,341
470565,603,5710,246,673,2280,266,343
76123,623,8534,119,847,595,1779,914
52227,484,25671,134,1596,10204,2721,901
282402,592,17058,142,807,873,1468,481
454155,8919,11526,73706,237545,5053,25953,15942
2133944,1162,4639,486,1418,1398,2090,1133
1501392,20023,1796,8040,6952,3298,8615,4312
397865,18703,5099,18673,12081,4303,17733,2233
2606626,3512,10247,2392,2033,9511,1445,1820
2518971,1791,3614,811,2786,1197,3750,3484
2530390,944,4414,1564,1457,1029,4112,1267
1796646,826,5163,372,985,579,1262,1228
837,2540,2345,1375,1686,1802,2806,1239
322095,2347,3155,3527,949,2320,2034,3465
393921,329,554,165,361,189,638,271
