e_id,e_name
1.1.1.1,alcohol dehydrogenase
1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
1.1.1.102,3-dehydrosphinganine reductase
1.1.1.103,L-threonine 3-dehydrogenase
1.1.1.105,all-trans-retinol dehydrogenase (NAD+)
1.1.1.108,carnitine 3-dehydrogenase
1.1.1.11,D-arabinitol 4-dehydrogenase
1.1.1.122,D-threo-aldose 1-dehydrogenase
1.1.1.127,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
1.1.1.130,3-dehydro-L-gulonate 2-dehydrogenase
1.1.1.132,GDP-mannose 6-dehydrogenase
1.1.1.133,dTDP-4-dehydrorhamnose reductase
1.1.1.135,GDP-6-deoxy-D-talose 4-dehydrogenase
1.1.1.136,UDP-N-acetylglucosamine 6-dehydrogenase
1.1.1.137,ribitol-5-phosphate 2-dehydrogenase
1.1.1.14,L-iditol 2-dehydrogenase
1.1.1.140,sorbitol-6-phosphate 2-dehydrogenase
1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase
1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase
1.1.1.159,7alpha-hydroxysteroid dehydrogenase
1.1.1.16,galactitol 2-dehydrogenase
1.1.1.163,cyclopentanol dehydrogenase
1.1.1.169,2-dehydropantoate 2-reductase
1.1.1.17,mannitol-1-phosphate 5-dehydrogenase
1.1.1.173,L-rhamnose 1-dehydrogenase
1.1.1.175,D-xylose 1-dehydrogenase
1.1.1.179,"D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming)"
1.1.1.18,inositol 2-dehydrogenase
1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase
1.1.1.2,alcohol dehydrogenase (NADP+)
1.1.1.202,"1,3-propanediol dehydrogenase"
1.1.1.203,uronate dehydrogenase
1.1.1.205,IMP dehydrogenase
1.1.1.206,tropinone reductase I
1.1.1.208,(+)-neomenthol dehydrogenase
1.1.1.21,aldose reductase
1.1.1.215,gluconate 2-dehydrogenase
1.1.1.219,dihydroflavonol 4-reductase
1.1.1.22,UDP-glucose 6-dehydrogenase
1.1.1.23,histidinol dehydrogenase
1.1.1.24,quinate/shikimate dehydrogenase (NAD+)
1.1.1.25,shikimate dehydrogenase (NADP+)
1.1.1.250,D-arabinitol 2-dehydrogenase
1.1.1.251,galactitol-1-phosphate 5-dehydrogenase
1.1.1.258,6-hydroxyhexanoate dehydrogenase
1.1.1.26,glyoxylate reductase
1.1.1.261,sn-glycerol-1-phosphate dehydrogenase
1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase
1.1.1.264,L-idonate 5-dehydrogenase
1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
1.1.1.27,L-lactate dehydrogenase
1.1.1.271,GDP-L-fucose synthase
1.1.1.276,serine 3-dehydrogenase (NADP+)
1.1.1.28,D-lactate dehydrogenase
1.1.1.281,GDP-4-dehydro-6-deoxy-D-mannose reductase
1.1.1.282,quinate/shikimate dehydrogenase [NAD(P)+]
1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase
1.1.1.287,D-arabinitol dehydrogenase (NADP+)
1.1.1.289,sorbose reductase
1.1.1.29,glycerate dehydrogenase
1.1.1.290,4-phosphoerythronate dehydrogenase
1.1.1.291,2-hydroxymethylglutarate dehydrogenase
1.1.1.292,"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)"
1.1.1.3,homoserine dehydrogenase
1.1.1.30,3-hydroxybutyrate dehydrogenase
1.1.1.302,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
1.1.1.303,diacetyl reductase [(R)-acetoin forming]
1.1.1.304,diacetyl reductase [(S)-acetoin forming]
1.1.1.305,UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating)
1.1.1.306,S-(hydroxymethyl)mycothiol dehydrogenase
1.1.1.307,D-xylose reductase
1.1.1.308,sulfopropanediol 3-dehydrogenase
1.1.1.31,3-hydroxyisobutyrate dehydrogenase
1.1.1.310,(S)-sulfolactate dehydrogenase
1.1.1.311,(S)-1-phenylethanol dehydrogenase
1.1.1.312,2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
1.1.1.313,sulfoacetaldehyde reductase
1.1.1.320,benzil reductase [(S)-benzoin forming]
1.1.1.328,nicotine blue oxidoreductase
1.1.1.333,decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
1.1.1.335,UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
1.1.1.336,UDP-N-acetyl-D-mannosamine dehydrogenase
1.1.1.337,L-2-hydroxycarboxylate dehydrogenase (NAD+)
1.1.1.338,(2R)-3-sulfolactate dehydrogenase (NADP+)
1.1.1.339,dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+)
1.1.1.34,hydroxymethylglutaryl-CoA reductase (NADPH)
1.1.1.341,CDP-abequose synthase
1.1.1.342,CDP-paratose synthase
1.1.1.343,"phosphogluconate dehydrogenase (NAD+-dependent, decarboxylating)"
1.1.1.346,"2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)"
1.1.1.347,geraniol dehydrogenase (NAD+)
1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
1.1.1.350,ureidoglycolate dehydrogenase (NAD+)
1.1.1.36,acetoacetyl-CoA reductase
1.1.1.361,glucose-6-phosphate 3-dehydrogenase
1.1.1.363,glucose-6-phosphate dehydrogenase [NAD(P)+]
1.1.1.367,"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase"
1.1.1.368,6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
1.1.1.369,D-chiro-inositol 1-dehydrogenase
1.1.1.37,malate dehydrogenase
1.1.1.370,scyllo-inositol 2-dehydrogenase (NAD+)
1.1.1.371,scyllo-inositol 2-dehydrogenase (NADP+)
1.1.1.373,sulfolactaldehyde 3-reductase
1.1.1.374,UDP-N-acetylglucosamine 3-dehydrogenase
1.1.1.377,L-rhamnose 1-dehydrogenase (NADP+)
1.1.1.378,L-rhamnose 1-dehydrogenase [NAD(P)+]
1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating)
1.1.1.380,L-gulonate 5-dehydrogenase
1.1.1.381,3-hydroxy acid dehydrogenase
1.1.1.384,"dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase"
1.1.1.385,dihydroanticapsin dehydrogenase
1.1.1.387,L-serine 3-dehydrogenase (NAD+)
1.1.1.396,bacteriochlorophyllide a dehydrogenase
1.1.1.399,2-oxoglutarate reductase
1.1.1.4,"(R,R)-butanediol dehydrogenase"
1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)
1.1.1.401,2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)
1.1.1.403,D-threitol dehydrogenase (NAD+)
1.1.1.404,tetrachlorobenzoquinone reductase
1.1.1.405,ribitol-5-phosphate 2-dehydrogenase (NADP+)
1.1.1.408,4-phospho-D-threonate 3-dehydrogenase
1.1.1.409,4-phospho-D-erythronate 3-dehydrogenase
1.1.1.41,isocitrate dehydrogenase (NAD+)
1.1.1.410,D-erythronate 2-dehydrogenase
1.1.1.411,L-threonate 2-dehydrogenase
1.1.1.412,2-alkyl-3-oxoalkanoate reductase
1.1.1.413,A-factor type gamma-butyrolactone 1'-reductase (1S-forming)
1.1.1.42,isocitrate dehydrogenase (NADP+)
1.1.1.43,phosphogluconate 2-dehydrogenase
1.1.1.44,"phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)"
1.1.1.47,glucose 1-dehydrogenase [NAD(P)+]
1.1.1.49,glucose-6-phosphate dehydrogenase (NADP+)
1.1.1.51,3(or 17)beta-hydroxysteroid dehydrogenase
1.1.1.53,3alpha(or 20beta)-hydroxysteroid dehydrogenase
1.1.1.56,ribitol 2-dehydrogenase
1.1.1.57,fructuronate reductase
1.1.1.58,tagaturonate reductase
1.1.1.6,glycerol dehydrogenase
1.1.1.60,2-hydroxy-3-oxopropionate reductase
1.1.1.61,4-hydroxybutyrate dehydrogenase
1.1.1.65,pyridoxine 4-dehydrogenase
1.1.1.67,mannitol 2-dehydrogenase
1.1.1.69,gluconate 5-dehydrogenase
1.1.1.76,"(S,S)-butanediol dehydrogenase"
1.1.1.77,lactaldehyde reductase
1.1.1.79,glyoxylate reductase (NADP+)
1.1.1.81,hydroxypyruvate reductase
1.1.1.83,D-malate dehydrogenase (decarboxylating)
1.1.1.85,3-isopropylmalate dehydrogenase
1.1.1.86,ketol-acid reductoisomerase (NADP+)
1.1.1.87,homoisocitrate dehydrogenase
1.1.1.88,hydroxymethylglutaryl-CoA reductase
1.1.1.9,D-xylulose reductase
1.1.1.90,aryl-alcohol dehydrogenase
1.1.1.91,aryl-alcohol dehydrogenase (NADP+)
1.1.1.93,tartrate dehydrogenase
1.1.1.94,glycerol-3-phosphate dehydrogenase [NAD(P)+]
1.1.1.95,phosphoglycerate dehydrogenase
1.1.2.3,L-lactate dehydrogenase (cytochrome)
1.1.2.4,D-lactate dehydrogenase (cytochrome)
1.1.2.6,polyvinyl alcohol dehydrogenase (cytochrome)
1.1.2.8,alcohol dehydrogenase (cytochrome c)
1.1.3.15,(S)-2-hydroxy-acid oxidase
1.1.3.17,choline oxidase
1.1.3.21,glycerol-3-phosphate oxidase
1.1.3.41,alditol oxidase
1.1.3.46,4-hydroxymandelate oxidase
1.1.3.47,5-(hydroxymethyl)furfural oxidase
1.1.3.48,3-deoxy-alpha-D-manno-octulosonate 8-oxidase
1.1.3.6,cholesterol oxidase
1.1.3.8,L-gulonolactone oxidase
1.1.3.9,galactose oxidase
1.1.5.11,1-butanol dehydrogenase (quinone)
1.1.5.12,D-lactate dehydrogenase (quinone)
1.1.5.2,"glucose 1-dehydrogenase (PQQ, quinone)"
1.1.5.3,glycerol-3-phosphate dehydrogenase
1.1.5.4,malate dehydrogenase (quinone)
1.1.5.5,alcohol dehydrogenase (quinone)
1.1.5.8,quinate/shikimate dehydrogenase (quinone)
1.1.5.9,"glucose 1-dehydrogenase (FAD, quinone)"
1.1.7.1,4-hydroxybenzoyl-CoA reductase
1.1.9.1,alcohol dehydrogenase (azurin)
1.1.98.2,glucose-6-phosphate dehydrogenase (coenzyme-F420)
1.1.98.3,decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase
1.1.98.4,F420H2:quinone oxidoreductase
1.1.98.6,ribonucleoside-triphosphate reductase (formate)
1.1.99.1,choline dehydrogenase
1.1.99.2,L-2-hydroxyglutarate dehydrogenase
1.1.99.21,D-sorbitol dehydrogenase (acceptor)
1.1.99.28,glucose-fructose oxidoreductase
1.1.99.3,gluconate 2-dehydrogenase (acceptor)
1.1.99.31,(S)-mandelate dehydrogenase
1.1.99.37,methanol dehydrogenase (nicotinoprotein)
1.10.3.1,catechol oxidase
1.10.3.15,grixazone synthase
1.10.3.16,dihydrophenazinedicarboxylate synthase
1.10.3.3,L-ascorbate oxidase
1.10.3.4,o-aminophenol oxidase
1.11.1.1,NADH peroxidase
1.11.1.10,chloride peroxidase
1.11.1.12,phospholipid-hydroperoxide glutathione peroxidase
1.11.1.19,dye decolorizing peroxidase
1.11.1.21,catalase-peroxidase
1.11.1.22,hydroperoxy fatty acid reductase
1.11.1.24,thioredoxin-dependent peroxiredoxin
1.11.1.25,glutaredoxin-dependent peroxiredoxin
1.11.1.26,NADH-dependent peroxiredoxin
1.11.1.27,glutathione-dependent peroxiredoxin
1.11.1.28,lipoyl-dependent peroxiredoxin
1.11.1.29,mycoredoxin-dependent peroxiredoxin
1.11.1.5,cytochrome-c peroxidase
1.11.1.6,catalase
1.11.1.7,peroxidase
1.11.1.9,glutathione peroxidase
1.11.2.4,fatty-acid peroxygenase
1.12.1.2,hydrogen dehydrogenase
1.12.1.3,hydrogen dehydrogenase (NADP+)
1.12.1.4,"hydrogenase (NAD+, ferredoxin)"
1.12.1.5,hydrogen dehydrogenase [NAD(P)+]
1.12.2.1,cytochrome-c3 hydrogenase
1.12.5.1,hydrogen:quinone oxidoreductase
1.12.7.2,ferredoxin hydrogenase
1.12.98.1,coenzyme F420 hydrogenase
1.12.98.2,"5,10-methenyltetrahydromethanopterin hydrogenase"
1.12.99.6,hydrogenase (acceptor)
1.13.11.1,"catechol 1,2-dioxygenase"
1.13.11.11,"tryptophan 2,3-dioxygenase"
1.13.11.14,"2,3-dihydroxybenzoate 3,4-dioxygenase"
1.13.11.15,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
1.13.11.16,"3-carboxyethylcatechol 2,3-dioxygenase"
1.13.11.2,"catechol 2,3-dioxygenase"
1.13.11.24,"quercetin 2,3-dioxygenase"
1.13.11.25,"3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase"
1.13.11.27,4-hydroxyphenylpyruvate dioxygenase
1.13.11.3,"protocatechuate 3,4-dioxygenase"
1.13.11.33,arachidonate 15-lipoxygenase
1.13.11.37,"hydroxyquinol 1,2-dioxygenase"
1.13.11.4,"gentisate 1,2-dioxygenase"
1.13.11.41,"2,4'-dihydroxyacetophenone dioxygenase"
1.13.11.5,"homogentisate 1,2-dioxygenase"
1.13.11.50,acetylacetone-cleaving enzyme
1.13.11.52,"indoleamine 2,3-dioxygenase"
1.13.11.53,acireductone dioxygenase (Ni2+-requiring)
1.13.11.54,acireductone dioxygenase [iron(II)-requiring]
1.13.11.57,gallate dioxygenase
1.13.11.6,"3-hydroxyanthranilate 3,4-dioxygenase"
1.13.11.74,"2-aminophenol 1,6-dioxygenase"
1.13.11.76,"2-amino-5-chlorophenol 1,6-dioxygenase"
1.13.11.78,2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)
1.13.11.79,"aerobic 5,6-dimethylbenzimidazole synthase"
1.13.11.8,"protocatechuate 4,5-dioxygenase"
1.13.11.81,"7,8-dihydroneopterin oxygenase"
1.13.11.82,"8'-apo-carotenoid 13,14-cleaving dioxygenase"
1.13.11.9,"2,5-dihydroxypyridine 5,6-dioxygenase"
1.13.12.16,nitronate monooxygenase
1.13.12.19,2-oxoglutarate dioxygenase (ethene-forming)
1.13.12.3,tryptophan 2-monooxygenase
1.13.12.4,lactate 2-monooxygenase
1.13.12.9,phenylalanine 2-monooxygenase
1.14.11.1,gamma-butyrobetaine dioxygenase
1.14.11.16,peptide-aspartate beta-dioxygenase
1.14.11.17,taurine dioxygenase
1.14.11.18,phytanoyl-CoA dioxygenase
1.14.11.2,procollagen-proline 4-dioxygenase
1.14.11.27,[histone H3]-dimethyl-L-lysine36 demethylase
1.14.11.33,DNA oxidative demethylase
1.14.11.4,procollagen-lysine 5-dioxygenase
1.14.11.47,[50S ribosomal protein L16]-arginine 3-hydroxylase
1.14.11.53,mRNA N6-methyladenine demethylase
1.14.11.55,ectoine hydroxylase
1.14.12.1,"anthranilate 1,2-dioxygenase (deaminating, decarboxylating)"
1.14.12.10,"benzoate 1,2-dioxygenase"
1.14.12.11,toluene dioxygenase
1.14.12.12,"naphthalene 1,2-dioxygenase"
1.14.12.17,nitric oxide dioxygenase
1.14.12.18,"biphenyl 2,3-dioxygenase"
1.14.12.19,3-phenylpropanoate dioxygenase
1.14.12.22,"carbazole 1,9a-dioxygenase"
1.14.12.23,nitroarene dioxygenase
1.14.12.24,"2,4-dinitrotoluene dioxygenase"
1.14.12.25,"p-cumate 2,3-dioxygenase"
1.14.12.3,"benzene 1,2-dioxygenase"
1.14.12.7,"phthalate 4,5-dioxygenase"
1.14.13.1,salicylate 1-monooxygenase
1.14.13.107,"limonene 1,2-monooxygenase"
1.14.13.113,FAD-dependent urate hydroxylase
1.14.13.114,6-hydroxynicotinate 3-monooxygenase
1.14.13.127,3-(3-hydroxyphenyl)propanoate hydroxylase
1.14.13.148,trimethylamine monooxygenase
1.14.13.149,"phenylacetyl-CoA 1,2-epoxidase"
1.14.13.163,6-hydroxy-3-succinoylpyridine 3-monooxygenase
1.14.13.172,salicylate 5-hydroxylase
1.14.13.182,2-heptyl-3-hydroxy-4(1H)-quinolone synthase
1.14.13.195,L-ornithine N5-monooxygenase (NADPH)
1.14.13.196,L-ornithine N5-monooxygenase [NAD(P)H]
1.14.13.2,4-hydroxybenzoate 3-monooxygenase
1.14.13.20,"2,4-dichlorophenol 6-monooxygenase"
1.14.13.208,"benzoyl-CoA 2,3-epoxidase"
1.14.13.211,rifampicin monooxygenase
1.14.13.218,5-methylphenazine-1-carboxylate 1-monooxygenase
1.14.13.219,resorcinol 4-hydroxylase (NADPH)
1.14.13.22,cyclohexanone monooxygenase
1.14.13.220,resorcinol 4-hydroxylase (NADH)
1.14.13.224,violacein synthase
1.14.13.227,propane 2-monooxygenase
1.14.13.229,tert-butyl alcohol monooxygenase
1.14.13.23,3-hydroxybenzoate 4-monooxygenase
1.14.13.231,tetracycline 11a-monooxygenase
1.14.13.232,6-methylpretetramide 4-monooxygenase
1.14.13.233,4-hydroxy-6-methylpretetramide 12a-monooxygenase
1.14.13.235,indole-3-acetate monooxygenase
1.14.13.236,toluene 4-monooxygenase
1.14.13.238,dimethylamine monooxygenase
1.14.13.239,carnitine monooxygenase
1.14.13.24,3-hydroxybenzoate 6-monooxygenase
1.14.13.242,3-hydroxy-2-methylpyridine-5-carboxylate monooxygenase
1.14.13.25,methane monooxygenase (soluble)
1.14.13.40,anthraniloyl-CoA monooxygenase
1.14.13.59,L-lysine N6-monooxygenase (NADPH)
1.14.13.7,phenol 2-monooxygenase (NADPH)
1.14.13.8,flavin-containing monooxygenase
1.14.13.82,vanillate monooxygenase
1.14.13.83,precorrin-3B synthase
1.14.13.84,4-hydroxyacetophenone monooxygenase
1.14.13.9,kynurenine 3-monooxygenase
1.14.14.1,unspecific monooxygenase
1.14.14.12,"3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase"
1.14.14.154,sterol 14alpha-demethylase
1.14.14.21,dibenzothiophene monooxygenase
1.14.14.28,long-chain alkane monooxygenase
1.14.14.3,bacterial luciferase
1.14.14.30,isobutylamine N-monooxygenase
1.14.14.35,dimethylsulfone monooxygenase
1.14.14.46,pimeloyl-[acyl-carrier protein] synthase
1.14.14.47,nitric-oxide synthase (flavodoxin)
1.14.14.5,alkanesulfonate monooxygenase
1.14.14.8,anthranilate 3-monooxygenase (FAD)
1.14.14.9,4-hydroxyphenylacetate 3-monooxygenase
1.14.15.20,"heme oxygenase (biliverdin-producing, ferredoxin)"
1.14.15.23,chloroacetanilide N-alkylformylase
1.14.15.24,beta-carotene 3-hydroxylase
1.14.15.28,cholest-4-en-3-one 26-monooxygenase [(25R)-3-oxocholest-4-en-26-oate forming]
1.14.15.29,cholest-4-en-3-one 26-monooxygenase [(25S)-3-oxocholest-4-en-26-oate forming]
1.14.15.3,alkane 1-monooxygenase
1.14.15.30,3-ketosteroid 9alpha-monooxygenase
1.14.15.7,choline monooxygenase
1.14.15.8,steroid 15beta-monooxygenase
1.14.16.1,phenylalanine 4-monooxygenase
1.14.17.3,peptidylglycine monooxygenase
1.14.18.1,tyrosinase
1.14.18.6,4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
1.14.19.1,stearoyl-CoA 9-desaturase
1.14.19.11,acyl-[acyl-carrier-protein] 4-desaturase
1.14.19.2,stearoyl-[acyl-carrier-protein] 9-desaturase
1.14.19.20,DELTA7-sterol 5(6)-desaturase
1.14.19.23,acyl-lipid (n+3)-(Z)-desaturase (ferredoxin)
1.14.19.26,acyl-[acyl-carrier-protein] 6-desaturase
1.14.19.3,acyl-CoA 6-desaturase
1.14.19.45,sn-1 oleoyl-lipid 12-desaturase
1.14.19.48,tert-amyl alcohol desaturase
1.14.19.49,tetracycline 7-halogenase
1.14.19.9,tryptophan 7-halogenase
1.14.20.3,(5R)-carbapenem-3-carboxylate synthase
1.14.20.7,2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming)
1.14.99.44,diapolycopene oxygenase
1.14.99.46,pyrimidine oxygenase
1.14.99.48,heme oxygenase (staphylobilin-producing)
1.14.99.50,gamma-glutamyl hercynylcysteine S-oxide synthase
1.14.99.53,lytic chitin monooxygenase
1.14.99.57,heme oxygenase (mycobilin-producing)
1.14.99.58,heme oxygenase (biliverdin-IX-beta and delta-forming)
1.15.1.1,superoxide dismutase
1.15.1.2,superoxide reductase
1.16.1.1,mercury(II) reductase
1.16.1.10,ferric-chelate reductase [NAD(P)H]
1.16.1.3,aquacobalamin reductase
1.16.1.9,ferric-chelate reductase (NADPH)
1.16.3.1,ferroxidase
1.16.3.2,bacterial non-heme ferritin
1.16.3.3,manganese oxidase
1.17.1.1,CDP-4-dehydro-6-deoxyglucose reductase
1.17.1.10,formate dehydrogenase (NADP+)
1.17.1.11,"formate dehydrogenase (NAD+, ferredoxin)"
1.17.1.4,xanthine dehydrogenase
1.17.1.5,nicotinate dehydrogenase
1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase
1.17.1.9,formate dehydrogenase
1.17.2.1,nicotinate dehydrogenase (cytochrome)
1.17.3.2,xanthine oxidase
1.17.4.1,ribonucleoside-diphosphate reductase
1.17.4.2,ribonucleoside-triphosphate reductase (thioredoxin)
1.17.5.3,formate dehydrogenase-N
1.17.7.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
1.17.7.3,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
1.17.7.4,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
1.17.8.1,hydroxysqualene dehydroxylase
1.17.9.1,4-methylphenol dehydrogenase (hydroxylating)
1.17.98.2,bacteriochlorophyllide c C-71-hydroxylase
1.17.98.4,formate dehydrogenase (hydrogenase)
1.17.99.6,epoxyqueuosine reductase
1.18.1.1,rubredoxin-NAD+ reductase
1.18.1.2,ferredoxin-NADP+ reductase
1.18.1.3,ferredoxin-NAD+ reductase
1.18.1.7,ferredoxin-NAD(P)+ reductase (naphthalene dioxygenase ferredoxin-specific)
1.18.6.1,nitrogenase
1.19.1.1,flavodoxin-NADP+ reductase
1.2.1.10,acetaldehyde dehydrogenase (acetylating)
1.2.1.11,aspartate-semialdehyde dehydrogenase
1.2.1.12,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
1.2.1.13,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
1.2.1.16,succinate-semialdehyde dehydrogenase [NAD(P)+]
1.2.1.18,malonate-semialdehyde dehydrogenase (acetylating)
