covered_ec_count,pathway_id,pathway_name,total_ec_count,pathway_ec,covered_ec,covered_ratio
4.0,PWY-5695,inosine 5'-phosphate degradation,4.0,"2.4.2.1,3.1.3.5,1.1.1.205,1.17.1.4","1.1.1.205,1.17.1.4,3.1.3.5,2.4.2.1",1.0
3.0,PWY-5692,allantoin degradation to glyoxylate II,4.0,"3.5.1.116,3.5.3.26,3.5.3.9,3.5.2.5","3.5.3.26,3.5.2.5,3.5.3.9",0.75
1.0,PWY-5704,urea degradation II,1.0,3.5.1.5,3.5.1.5,1.0
5.0,PWY-6708,ubiquinol-8 biosynthesis (early decarboxylation),8.0,"1.14.99.60,1.14.13.240,2.1.1.222,1.14.13.M56,2.1.1.64,4.1.1.98,2.5.1.39,2.1.1.201","4.1.1.98,2.1.1.222,2.5.1.39,2.1.1.201,2.1.1.64",0.625
1.0,PWY-5755,4-hydroxybenzoate biosynthesis II (bacteria),1.0,4.1.3.40,4.1.3.40,1.0
2.0,THREONINE-DEG2-PWY,L-threonine degradation II,2.0,"2.3.1.29,1.1.1.103","2.3.1.29,1.1.1.103",1.0
5.0,PWY-5437,L-threonine degradation I,7.0,"2.7.2.7,2.7.2.1,2.7.2.15,2.7.2.14,3.5.99.10,2.3.1,2.3.1.222","2.3.1.222,2.7.2.7,2.7.2.1,2.7.2.15,3.5.99.10",0.7142857142857143
2.0,PWY-5436,L-threonine degradation IV,3.0,"4.1.2.48,4.1.2.5,1.2.1.10","1.2.1.10,4.1.2.48",0.6666666666666666
2.0,THRDLCTCAT-PWY,L-threonine degradation III (to methylglyoxal),2.0,"1.4.3.21,1.1.1.103","1.4.3.21,1.1.1.103",1.0
3.0,PWY-6908,thiamine diphosphate biosynthesis IV (eukaryotes),3.0,"3.1.3.100,2.7.6.2,2.5.1.3","2.7.6.2,2.5.1.3,3.1.3.100",1.0
2.0,PWY-6894,thiamine diphosphate biosynthesis I (E. coli),2.0,"2.7.4.16,2.5.1.3","2.7.4.16,2.5.1.3",1.0
5.0,PWY-6892,thiazole component of thiamine diphosphate biosynthesis I,6.0,"4.1.99.19,2.8.1.10,2.2.1.7,2.7.7.73,2.8.1,2.8.1.7","2.8.1.10,2.2.1.7,2.8.1.7,2.7.7.73,4.1.99.19",0.8333333333333334
7.0,TCA,TCA cycle I (prokaryotic),10.0,"1.3.5.1,1.1.5.4,6.2.1.5,2.3.3.3,2.3.3.16,2.3.3.1,4.2.1.2,1.1.1.37,1.1.1.42,1.2.1.105","1.1.1.37,2.3.3.1,4.2.1.2,1.1.1.42,1.3.5.1,1.1.5.4,6.2.1.5",0.7
4.0,GLYOXYLATE-BYPASS,glyoxylate cycle,6.0,"2.3.3.9,1.1.1.37,4.1.3.1,2.3.3.3,2.3.3.16,2.3.3.1","2.3.3.1,1.1.1.37,2.3.3.9,4.1.3.1",0.6666666666666666
2.0,CYSTSYN-PWY,L-cysteine biosynthesis I,2.0,"2.5.1.47,2.3.1.30","2.5.1.47,2.3.1.30",1.0
3.0,PWY-7343,UDP-alpha-D-glucose biosynthesis,3.0,"5.4.2.2,2.7.7.64,2.7.7.9","2.7.7.9,2.7.7.64,5.4.2.2",1.0
2.0,PWY-5340,sulfate activation for sulfonation,2.0,"2.7.7.4,2.7.1.25","2.7.7.4,2.7.1.25",1.0
1.0,GLYSYN-PWY,glycine biosynthesis I,1.0,2.1.2.1,2.1.2.1,1.0
3.0,SERSYN-PWY,L-serine biosynthesis I,3.0,"2.6.1.52,1.1.1.95,3.1.3.3","3.1.3.3,2.6.1.52,1.1.1.95",1.0
5.0,PWY66-3,"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)",12.0,"1.14.14.154,1.14.19.20,1.3.1.72,1.14.18.9,1.1.1.270,1.3.1.70,1.3.1.21,1.14.14.17,1.1.1.170,5.4.99.7,5.3.3.5,2.5.1.103","2.5.1.103,1.14.14.154,1.3.1.72,5.4.99.7,1.14.19.20",0.4166666666666667
5.0,PWY66-4,cholesterol biosynthesis III (via desmosterol),12.0,"1.14.14.154,1.14.19.20,1.3.1.72,5.3.3.5,1.14.18.9,1.1.1.270,1.3.1.21,1.14.14.17,1.1.1.170,5.4.99.7,1.3.1.70,2.5.1.103","2.5.1.103,1.14.14.154,1.3.1.72,5.4.99.7,1.14.19.20",0.4166666666666667
5.0,PWY66-341,cholesterol biosynthesis I,12.0,"1.14.14.154,1.14.19.20,1.3.1.72,5.3.3.5,1.14.18.9,1.1.1.270,1.3.1.21,1.14.14.17,1.1.1.170,5.4.99.7,1.3.1.70,2.5.1.103","2.5.1.103,1.14.14.154,1.3.1.72,5.4.99.7,1.14.19.20",0.4166666666666667
2.0,P121-PWY,adenine and adenosine salvage I,2.0,"2.4.2.7,2.4.2.1","2.4.2.7,2.4.2.1",1.0
1.0,PWY-6619,adenine and adenosine salvage VI,1.0,2.7.1.20,2.7.1.20,1.0
2.0,PWY-6620,guanine and guanosine salvage I,3.0,"2.4.2.8,2.4.2.15,2.4.2.1","2.4.2.8,2.4.2.1",0.6666666666666666
4.0,PWY-7221,guanosine ribonucleotides de novo biosynthesis,4.0,"2.7.4.8,2.7.4.6,6.3.5.2,1.1.1.205","1.1.1.205,2.7.4.8,6.3.5.2,2.7.4.6",1.0
4.0,PWY-5600,pyruvate fermentation to acetate VII,4.0,"2.7.2.15,2.7.2.1,2.3.1.8,1.2.7.1","2.7.2.1,2.3.1.8,2.7.2.15,1.2.7.1",1.0
1.0,PWY-7709,(3R)-linalool biosynthesis,2.0,"2.5.1.1,4.2.3.26",2.5.1.1,0.5
1.0,PWY-7141,(3S)-linalool biosynthesis,2.0,"4.2.3.25,2.5.1.1",2.5.1.1,0.5
1.0,PWY18C3-4,solasodine glycosylation,2.0,"2.4.1.173,2.4.1",2.4.1.173,0.5
5.0,FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation,6.0,"2.3.1.41,2.3.1.179,2.3.1.180,2.1.3.15,2.3.1.38,2.3.1.39","2.3.1.39,2.1.3.15,2.3.1.179,2.3.1.180,2.3.1.41",0.8333333333333334
7.0,FASYN-ELONG-PWY,fatty acid elongation -- saturated,8.0,"4.2.1.59,1.3.1.10,1.3.1.104,1.3.1.39,1.3.1.9,1.1.1.100,2.3.1.179,2.3.1.41","1.3.1.10,1.3.1.104,2.3.1.179,1.3.1.9,4.2.1.59,2.3.1.41,1.1.1.100",0.875
6.0,PWY0-862,(5Z)-dodecenoate biosynthesis I,6.0,"4.2.1.59,5.3.3.14,1.3.1.9,1.1.1.100,2.3.1.179,2.3.1.41","2.3.1.179,1.3.1.9,4.2.1.59,5.3.3.14,2.3.1.41,1.1.1.100",1.0
3.0,PLPSAL-PWY,pyridoxal 5'-phosphate salvage I,3.0,"1.4.3.5,1.1.1.65,2.7.1.35","2.7.1.35,1.1.1.65,1.4.3.5",1.0
7.0,PYRIDOXSYN-PWY,pyridoxal 5'-phosphate biosynthesis I,7.0,"2.6.99.2,2.2.1.7,1.4.3.5,1.1.1.290,1.1.1.262,1.2.1.72,2.6.1.52","1.2.1.72,1.1.1.290,2.2.1.7,2.6.99.2,1.4.3.5,2.6.1.52,1.1.1.262",1.0
