e_id	copynumber
1.1.1.100	1
1.1.1.133	1
1.1.1.157	1
1.1.1.169	1
1.1.1.2	3
1.1.1.205	1
1.1.1.22	2
1.1.1.23	1
1.1.1.25	1
1.1.1.261	1
1.1.1.3	1
1.1.1.302	1
1.1.1.336	1
1.1.1.337	1
1.1.1.34	1
1.1.1.374	1
1.1.1.399	1
1.1.1.405	3
1.1.1.69	1
1.1.1.85	1
1.1.1.86	1
1.1.1.87	1
1.1.1.94	1
1.1.1.95	1
1.1.98.6	1
1.12.98.1	4
1.12.98.2	1
1.15.1.2	1
1.16.3.2	1
1.17.1.8	1
1.17.1.9	4
1.17.99.6	1
1.2.1.11	1
1.2.1.22	1
1.2.1.38	1
1.2.1.59	1
1.2.1.70	1
1.2.3.3	1
1.2.7.1	4
1.2.7.11	2
1.2.7.12	5
1.2.7.3	5
1.2.7.7	3
1.2.7.8	2
1.3.1.101	1
1.3.1.106	1
1.3.1.12	1
1.3.1.14	1
1.3.1.54	1
1.3.1.76	1
1.3.4.1	2
1.3.5.3	1
1.3.7.11	1
1.4.1.1	1
1.4.1.2	1
1.4.1.21	1
1.4.1.24	1
1.4.1.3	1
1.4.1.4	1
1.5.1.2	1
1.5.1.40	1
1.5.3.22	1
1.5.98.1	1
1.5.98.2	1
1.5.99.15	1
1.6.3.3	1
1.7.99.1	1
1.8.1.4	1
1.8.1.8	1
1.8.1.9	1
1.8.4.10	1
1.8.4.11	2
1.8.4.12	2
1.8.4.8	1
1.8.7.3	6
1.8.98.4	3
1.8.98.5	7
1.8.98.6	5
1.97.1.4	4
2.1.1.107	1
2.1.1.130	1
2.1.1.131	1
2.1.1.133	1
2.1.1.14	1
2.1.1.151	1
2.1.1.163	1
2.1.1.166	1
2.1.1.182	1
2.1.1.195	1
2.1.1.196	1
2.1.1.201	1
2.1.1.206	1
2.1.1.213	1
2.1.1.215	1
2.1.1.216	1
2.1.1.219	1
2.1.1.220	1
2.1.1.228	1
2.1.1.246	1
2.1.1.271	1
2.1.1.289	1
2.1.1.297	1
2.1.1.37	1
2.1.1.45	1
2.1.1.63	1
2.1.1.86	9
2.1.1.90	1
2.1.1.98	1
2.1.2.1	1
2.1.3.2	1
2.1.3.3	1
2.10.1.1	2
2.2.1.10	1
2.2.1.6	3
2.3.1.1	2
2.3.1.101	2
2.3.1.129	1
2.3.1.157	1
2.3.1.234	1
2.3.1.266	1
2.3.1.267	1
2.3.1.28	1
2.3.1.30	1
2.3.1.31	2
2.3.1.35	1
2.3.1.48	1
2.3.1.9	1
2.3.3.1	1
2.3.3.10	1
2.3.3.13	1
2.3.3.14	1
2.3.3.21	1
2.4.1.227	1
2.4.2.10	2
2.4.2.12	1
2.4.2.14	1
2.4.2.17	1
2.4.2.18	1
2.4.2.19	1
2.4.2.28	1
2.4.2.48	1
2.4.2.52	1
2.4.2.54	1
2.4.2.7	1
2.4.2.9	1
2.4.99.18	2
2.4.99.21	1
2.5.1.1	1
2.5.1.10	1
2.5.1.101	1
2.5.1.108	1
2.5.1.114	1
2.5.1.129	1
2.5.1.131	1
2.5.1.147	2
2.5.1.19	1
2.5.1.29	1
2.5.1.3	2
2.5.1.41	1
2.5.1.42	1
2.5.1.46	1
2.5.1.47	1
2.5.1.49	2
2.5.1.56	1
2.5.1.6	1
2.5.1.61	1
2.5.1.72	1
2.5.1.78	1
2.5.1.89	1
2.5.1.9	1
2.5.1.97	1
2.6.1.1	1
2.6.1.11	1
2.6.1.16	2
2.6.1.17	1
2.6.1.42	1
2.6.1.83	1
2.6.1.9	1
2.6.1.97	1
2.7.1.15	1
2.7.1.161	1
2.7.1.169	1
2.7.1.213	1
2.7.1.23	1
2.7.1.36	1
2.7.1.49	1
