nid,refseq_id,ncbi_name,ncbi_taxid,ncbi_species,ncbi_species_id
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,GCA_000499765.1,Methanobacterium sp. MB1,1379702,Methanobacterium sp. MB1,1379702.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A oralis,GCF_001639275.1,Methanobrevibacter oralis,66851,Methanobrevibacter oralis,66851.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii,GCF_001729455.1,Methanobrevibacter sp. A54,1860156,Methanobrevibacter sp. A54,1860156.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp900766745,GCA_905213915.1,uncultured Methanobrevibacter sp.,253161,uncultured Methanobrevibacter sp.,253161.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A woesei,GCF_003111605.1,Methanobrevibacter woesei,190976,Methanobrevibacter woesei,190976.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_C;s__Methanobrevibacter_C arboriphilus_A,GCF_000513315.1,Methanobrevibacter arboriphilus ANOR1,1401244,Methanobrevibacter arboriphilus,39441.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera cuniculi,GCF_002287195.1,Methanosphaera cuniculi,1077256,Methanosphaera cuniculi,1077256.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera sp900322125,GCA_002509095.1,Methanobacteriaceae archaeon UBA254,1915621,Methanobacteriaceae archaeon UBA254,1915621.0
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera stadtmanae,GCF_001729395.1,Methanosphaera sp. A6,1860157,Methanosphaera sp. A6,1860157.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus_A;s__Methanomassiliicoccus_A intestinalis,GCF_000404225.1,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1295009,Candidatus Methanomassiliicoccus intestinalis,1406512.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus_A;s__Methanomassiliicoccus_A sp905203995,GCA_905203995.1,uncultured Methanomassiliicoccus sp.,1233402,uncultured Methanomassiliicoccus sp.,1233402.0
