e_id	copynumber
K00003	2
K00012	1
K00013	1
K00014	1
K00021	1
K00024	1
K00052	1
K00053	1
K00057	1
K00058	1
K00059	1
K00067	1
K00088	1
K00096	1
K00123	1
K00125	1
K00133	1
K00145	1
K00150	1
K00158	1
K00169	1
K00170	1
K00171	1
K00172	1
K00174	2
K00175	2
K00176	1
K00177	1
K00179	1
K00180	1
K00186	1
K00187	1
K00188	1
K00192	2
K00193	1
K00194	1
K00195	1
K00196	1
K00197	1
K00200	1
K00201	1
K00202	2
K00203	1
K00204	1
K00205	2
K00215	2
K00230	1
K00239	1
K00240	1
K00261	1
K00262	1
K00286	1
K00311	1
K00319	1
K00320	1
K00355	1
K00382	1
K00384	1
K00390	2
K00399	2
K00400	3
K00401	2
K00402	2
K00440	1
K00441	2
K00442	1
K00443	1
K00467	1
K00525	1
K00549	1
K00555	1
K00560	3
K00567	1
K00571	1
K00573	1
K00577	2
K00578	1
K00579	1
K00580	1
K00581	1
K00582	1
K00583	1
K00584	1
K00590	1
K00600	1
K00609	1
K00610	1
K00611	1
K00620	1
K00626	1
K00640	1
K00641	2
K00666	1
K00672	2
K00721	2
K00759	1
K00761	1
K00762	2
K00764	1
K00765	1
K00766	1
K00767	1
K00772	1
K00782	1
K00784	1
K00788	1
K00789	1
K00793	1
K00794	1
K00800	1
K00809	1
K00812	1
K00817	1
K00820	2
K00821	1
K00826	1
K00852	1
K00858	1
K00869	1
K00891	1
K00927	1
K00928	1
K00930	1
K00937	1
K00939	1
K00940	1
K00941	1
K00943	2
K00945	1
K00946	1
K00948	1
K00952	1
K00963	1
K00973	1
K00995	1
K01000	1
K01001	1
K01007	2
K01011	1
K01042	1
K01069	1
K01079	1
K01091	1
K01092	1
K01142	1
K01151	1
K01154	1
K01155	2
K01170	1
K01251	1
K01265	1
K01271	1
K01338	2
K01421	2
K01436	1
K01449	3
K01465	1
K01480	1
K01485	2
K01486	1
K01494	2
K01496	1
K01499	1
K01507	1
K01518	1
K01520	1
K01523	1
K01533	1
K01534	1
K01535	2
K01537	2
K01551	1
K01580	1
K01586	1
K01588	1
K01591	1
K01607	1
K01609	1
K01613	1
K01619	1
K01622	1
K01628	1
K01641	1
K01647	1
K01649	1
K01652	2
K01653	1
K01657	1
K01658	1
K01673	1
K01677	2
K01678	2
K01679	1
K01687	1
K01689	1
K01693	1
K01695	1
K01696	1
K01698	1
K01703	1
K01704	1
K01710	1
K01714	1
K01719	1
K01733	1
K01736	1
K01737	1
K01738	1
K01740	1
K01749	1
K01755	1
K01756	1
K01759	1
K01760	1
K01778	1
K01784	2
K01790	1
K01791	1
K01802	1
K01803	1
K01807	1
K01814	2
K01817	1
K01821	2
K01823	1
K01841	1
K01845	1
K01854	1
K01858	1
K01866	1
K01867	1
K01868	1
K01869	1
K01870	1
K01872	1
K01873	2
K01874	1
K01875	1
K01880	1
K01881	1
K01883	1
K01885	1
K01887	1
K01889	1
K01890	1
K01892	1
K01895	3
K01897	1
K01902	1
K01903	1
K01905	1
K01912	2
K01915	3
K01916	1
K01923	1
K01924	2
K01925	2
K01928	1
K01933	1
K01934	1
K01937	1
K01939	1
K01940	1
K01945	1
K01951	2
K01952	3
K01953	1
K01955	1
K01956	1
K01959	1
K01960	1
K01971	1
K01974	1
K01975	1
K01990	5
K01992	6
K02003	4
K02004	4
K02006	2
K02007	3
K02008	2
K02009	2
K02013	2
K02015	2
K02016	2
K02017	1
K02019	1
K02036	1
K02037	1
K02038	1
K02039	2
K02040	1
K02051	1
K02074	1
K02075	1
K02117	1
K02118	1
K02119	1
K02120	1
K02121	1
K02122	1
K02123	1
K02124	1
K02188	1
K02189	1
K02191	1
K02201	1
K02217	1
K02224	2
K02227	1
K02230	2
K02232	1
K02233	1
K02303	1
K02304	1
K02316	1
K02319	3
K02322	1
K02323	1
K02347	1
K02379	1
K02427	1
K02428	1
K02433	1
K02434	1
K02435	1
K02440	1
K02472	1
K02485	1
K02492	1
K02493	1
K02500	2
K02501	1
K02503	1
K02528	1
K02548	2
K02563	1
K02585	1
K02586	2
K02587	1
K02588	2
K02589	1
K02590	1
K02591	3
K02592	1
K02600	1
K02601	1
K02614	1
K02626	1
K02683	1
K02823	1
K02858	1
K02863	1
K02864	1
K02866	1
K02867	1
K02869	1
K02871	1
K02874	1
K02875	1
K02876	1
K02877	1
K02881	1
K02883	1
K02885	1
K02886	1
K02889	1
K02890	1
K02892	1
K02895	1
K02904	1
K02906	1
K02907	1
K02908	1
K02910	1
K02912	1
K02915	1
K02921	1
K02927	1
K02929	1
K02930	1
K02931	1
K02933	1
K02936	1
K02944	1
K02946	1
K02948	1
K02950	1
K02952	1
K02956	1
K02961	1
K02962	1
K02965	1
K02966	1
K02967	1
K02974	1
K02977	1
K02978	1
K02979	1
K02982	1
K02984	1
K02986	1
K02987	1
K02988	1
K02991	1
K02992	1
K02994	1
K02995	1
K02996	1
K03041	1
K03042	1
K03044	1
K03045	1
K03047	1
K03049	1
K03050	1
K03051	1
K03053	1
K03055	1
K03056	1
K03057	1
K03058	1
K03059	1
K03072	1
K03074	1
K03076	1
K03101	1
K03105	1
K03106	1
K03110	1
K03113	1
K03120	1
K03124	1
K03136	1
K03146	2
K03147	2
K03151	2
K03154	2
K03166	1
K03167	1
K03168	1
K03186	1
K03231	2
K03232	1
K03234	1
K03236	1
K03237	1
K03238	1
K03242	1
K03243	1
K03263	1
K03264	1
K03265	1
K03306	1
K03307	2
K03320	2
K03328	1
K03330	1
K03386	1
K03388	1
K03389	1
K03390	1
K03394	1
K03399	1
K03404	2
K03405	1
K03406	1
K03417	1
K03420	1
K03421	1
K03422	2
K03424	1
K03426	1
K03427	1
K03431	1
K03432	1
K03433	1
K03442	1
K03455	1
K03470	1
K03496	1
K03498	1
K03499	2
K03517	1
K03523	1
K03524	2
K03529	2
K03531	1
K03537	1
K03538	1
K03539	1
K03540	1
K03546	1
K03547	1
K03552	2
K03559	1
K03561	1
K03568	1
K03569	1
K03574	2
K03592	1
K03593	1
K03609	2
K03622	1
K03626	1
K03627	1
K03635	1
K03636	1
K03637	1
K03638	1
K03639	1
K03655	1
K03657	1
K03660	1
K03679	1
K03685	1
K03686	1
K03687	1
K03688	1
K03698	1
K03699	1
K03701	1
K03702	1
K03703	1
K03709	2
K03718	2
K03724	1
K03725	1
K03726	1
K03744	1
K03750	2
K03752	1
K03753	1
K03768	1
K03775	1
K03782	1
K03785	1
K03787	1
K03789	1
K03799	2
K03926	1
K03975	3
K04034	2
K04042	1
K04043	1
K04069	2
K04076	1
K04084	1
K04093	1
K04477	2
K04483	1
K04484	1
K04487	3
K04488	1
K04517	1
K04518	1
K04564	1
K04566	1
K04651	1
K04652	1
K04653	1
K04654	1
K04655	1
K04656	1
K04751	3
K04752	1
K04758	2
K04759	2
K04763	4
K04773	1
K04794	1
K04795	1
K04796	1
K04797	1
K04798	1
K04799	1
K04800	1
K04801	1
K04802	1
K05592	1
K05601	1
K05715	1
K05716	1
K05770	1
K05825	1
K05873	1
K05884	1
K05895	1
K05919	1
K05934	1
K05936	1
K05966	1
K05979	1
K06001	1
K06024	1
K06034	1
K06042	1
K06131	1
K06132	1
K06133	1
K06153	1
K06173	1
K06174	1
K06176	1
K06196	1
K06206	1
K06213	1
K06215	2
K06223	2
K06317	1
K06409	1
K06718	1
K06857	1
K06862	1
K06863	1
K06864	1
K06865	1
K06868	1
K06869	1
K06871	1
K06874	1
K06875	1
K06877	1
K06883	1
K06885	1
K06888	1
K06889	2
K06897	1
K06898	1
K06910	1
K06913	1
K06914	1
K06915	2
K06920	1
K06923	1
K06927	1
K06932	1
K06933	1
K06934	1
K06936	1
K06937	1
K06939	1
K06942	1
K06943	1
K06944	1
K06945	5
K06950	1
K06953	1
K06961	1
K06963	1
K06964	1
K06965	1
K06981	1
K06982	1
K06984	1
K06987	1
K06988	1
K06989	1
K06990	1
K07006	1
K07007	1
K07009	1
K07011	4
K07012	1
K07013	2
K07022	1
K07025	1
K07027	2
K07033	1
K07034	1
K07038	5
K07041	1
K07043	1
K07049	1
K07051	1
K07052	5
K07055	1
K07060	1
K07068	1
K07072	1
K07079	3
K07088	1
K07089	1
K07090	1
K07095	2
K07096	1
K07098	3
K07103	1
K07105	1
K07107	1
K07108	1
K07123	1
K07131	2
K07134	1
K07135	1
K07138	1
K07141	1
K07142	1
K07144	1
K07151	2
K07158	1
K07159	1
K07161	1
K07163	1
K07178	1
K07220	1
K07238	1
K07244	1
K07254	1
K07284	2
K07301	2
K07315	1
K07321	2
K07322	1
K07331	1
K07332	1
K07333	2
K07342	1
K07388	1
K07392	1
K07442	1
K07446	1
K07456	1
K07457	1
K07463	3
K07464	1
K07466	1
K07468	1
K07483	2
K07484	1
K07487	8
K07497	2
K07502	1
K07503	1
K07552	2
K07557	1
K07558	1
K07561	1
K07562	1
K07566	1
K07569	1
K07572	1
K07573	1
K07574	1
K07575	1
K07579	1
K07580	1
K07581	1
K07583	1
K07585	1
K07587	1
K07646	1
K07721	1
K07722	6
K07725	2
K07728	1
K07729	3
K07730	1
K07732	1
K07739	1
K07744	2
K07991	1
K08093	1
K08094	2
K08096	1
K08097	1
K08264	1
K08303	2
K08315	1
K08482	1
K08681	1
K08963	1
K08971	1
K08974	1
K08979	1
K09003	1
K09005	1
K09006	1
K09011	1
K09013	1
K09116	1
K09119	1
K09120	1
K09121	1
K09123	1
K09126	1
K09128	1
K09129	1
K09131	1
K09136	1
K09138	1
K09139	1
K09140	1
K09141	1
K09142	1
K09143	1
K09150	1
K09153	1
K09154	2
K09482	1
K09690	1
K09691	1
K09706	1
K09713	1
K09715	1
K09717	1
K09718	1
K09720	1
K09721	1
K09722	1
K09723	1
K09724	1
K09726	1
K09727	1
K09728	1
K09729	1
K09730	1
K09732	1
K09733	1
K09735	1
K09736	1
K09737	1
K09738	1
K09739	1
K09740	1
K09741	1
K09743	1
K09759	1
K09771	1
K09790	1
K09815	1
K09816	1
K09817	1
K09825	1
K09903	1
K09940	3
K09951	1
K10026	1
K10112	1
K10206	1
K10563	2
K10716	4
K10725	2
K10726	1
K10747	2
K10773	1
K10896	1
K10947	1
K10977	1
K10978	1
K10979	1
K11105	2
K11130	1
K11131	1
K11176	1
K11212	1
K11260	1
K11261	4
K11600	1
K11646	1
K11717	1
K11780	1
K11781	2
K11936	1
K12234	1
K12574	3
K12589	1
K12940	1
K12960	1
K13038	1
K13039	1
K13075	1
K13280	1
K13525	2
K13787	1
K13798	1
K13812	3
K13993	3
K14092	1
K14093	1
K14094	1
K14095	1
K14096	1
K14097	1
K14098	1
K14099	1
K14100	1
K14101	1
K14102	1
K14103	1
K14104	1
K14105	1
K14106	1
K14107	1
K14108	1
K14109	1
K14110	1
K14111	1
K14112	1
K14113	1
K14114	1
K14115	1
K14116	1
K14117	1
K14118	1
K14119	1
K14120	1
K14121	1
K14122	1
K14123	1
K14124	1
K14125	1
K14126	2
K14127	1
K14128	2
K14155	1
K14415	1
K14445	1
K14561	1
K14564	1
K14574	1
K14653	1
K14654	2
K14656	1
K14941	1
K15256	2
K15342	1
K15429	1
K15449	1
K15495	1
K15496	1
K15497	1
K15635	2
K15778	1
K15865	1
K15888	1
K15904	1
K16306	1
K16792	1
K16793	1
K17104	1
K17105	2
K17462	1
K17488	1
K17686	2
K17758	1
K17759	1
K17828	1
K17830	3
K17870	1
K17884	1
K17994	1
K18105	1
K18209	1
K18210	1
K18532	1
K18779	1
K18815	1
K18853	1
K18855	1
K18882	1
K18933	1
K19003	2
K19075	1
K19091	1
K19116	1
K19266	1
K19302	1
K19664	1
K19665	1
K19710	4
K19712	1
K19817	1
K19824	1
K20215	1
K20616	1
K21029	2
K21142	1
K21220	1
K21306	1
K21610	1
K21611	1
K21612	1
K21636	1
K21903	1
K21993	1
K22011	1
K22026	1
K22109	1
K22221	1
K22223	1
K22224	1
K22424	1
K22447	2
K22477	2
K22480	1
K22481	1
K22482	1
