nid,strain_name,specie_id,specie_name,k,refseq_id
1846278,Candidatus Nitrosotenuis aquarius,1846278,Candidatus Nitrosotenuis aquarius,Archaea,GCF_002787055.1
33070,Synechococcus lividus,33070,Synechococcus lividus,Bacteria,GCF_002754935.1
1884914,Candidatus Planktophila dulcis,1884914,Candidatus Planktophila dulcis,Bacteria,GCF_002287965.1
2067958,Kosakonia sp. MUSA4,2067958,Kosakonia sp. MUSA4,Bacteria,GCF_013085925.1
2603215,Marinobacter fonticola,2603215,Marinobacter fonticola,Bacteria,GCF_008122265.1
1636423,Burkholderia sp. MSMB1588,1636423,Burkholderia sp. MSMB1588,Bacteria,GCF_001546925.1
913109,Arcobacter ellisii,913109,Arcobacter ellisii,Bacteria,GCF_004115815.1
673862,Candidatus Babela massiliensis,673862,Candidatus Babela massiliensis,Bacteria,GCF_000513475.1
2714924,Diaphorobacter sp. HDW4A,2714924,Diaphorobacter sp. HDW4A,Bacteria,GCF_011305995.1
2596913,Sphingomonas sp. NBWT7,2596913,Sphingomonas sp. NBWT7,Bacteria,GCF_014217605.1
2614441,Flavobacterium sp. LPB0248,2614441,Flavobacterium sp. LPB0248,Bacteria,GCF_013388355.1
2795687,Thiohalobacter sp. COW1,2795687,Thiohalobacter sp. COW1,Bacteria,GCF_016629505.1
54259,Ignicoccus islandicus,54259,Ignicoccus islandicus,Archaea,GCF_001481685.1
1971,Streptomyces noursei,1971,Streptomyces noursei,Bacteria,GCF_016917755.1
29546,Lawsonia intracellularis,29546,Lawsonia intracellularis,Bacteria,GCF_001975945.1
2766701,Treponema sp. Marseille-Q4132,2766701,Treponema sp. Marseille-Q4132,Bacteria,GCF_014334835.1
1649184,Streptomyces sp. CFMR 7,1649184,Streptomyces sp. CFMR 7,Bacteria,GCF_001278095.1
2058137,Polaribacter sp. ALD11,2058137,Polaribacter sp. ALD11,Bacteria,GCF_002831685.1
2560010,Actinomyces sp. dk561,2560010,Actinomyces sp. dk561,Bacteria,GCF_004798665.1
2769067,Microbacterium sp. HY60,2769067,Microbacterium sp. HY60,Bacteria,GCF_011751785.1
2781022,Lysobacter sp. H21R20,2781022,Lysobacter sp. H21R20,Bacteria,GCF_015209725.1
125,Pirellula staleyi,125,Pirellula staleyi,Bacteria,GCF_000025185.1
1879050,Acinetobacter wuhouensis,1879050,Acinetobacter wuhouensis,Bacteria,GCF_001696605.3
2079536,Actinomyces sp. Z16,2079536,Actinomyces sp. Z16,Bacteria,GCF_003111765.1
2604047,Paraburkholderia sp. Msb3,2604047,Paraburkholderia sp. Msb3,Bacteria,GCF_902459535.1
849,Fusobacterium gonidiaformans,849,Fusobacterium gonidiaformans,Bacteria,GCA_905204445.1
2660750,Bacillus sp. A260,2660750,Bacillus sp. A260,Bacteria,GCF_009861435.1
51365,Mycoplasma yeatsii,51365,Mycoplasma yeatsii,Bacteria,GCF_000380285.1
46680,Pseudomonas nitroreducens,46680,Pseudomonas nitroreducens,Bacteria,GCF_000807755.1
293089,Martelella mediterranea,293089,Martelella mediterranea,Bacteria,GCF_004342225.1
33035,Blautia producta,33035,Blautia producta,Bacteria,GCF_014131715.1
2575440,Nocardioides sp. dk3543,2575440,Nocardioides sp. dk3543,Bacteria,GCF_006007965.1
74033,Antarctobacter heliothermus,74033,Antarctobacter heliothermus,Bacteria,GCF_900188425.1
631,Yersinia intermedia,631,Yersinia intermedia,Bacteria,GCF_001116865.1
63612,Sodalis glossinidius,63612,Sodalis glossinidius,Bacteria,GCA_000010085.1
1798806,Candidatus Nitrosocosmicus franklandus,1798806,Candidatus Nitrosocosmicus franklandus,Archaea,GCF_900696045.1
227605,Methylocella tundrae,227605,Methylocella tundrae,Bacteria,GCF_901905185.1
444444,Chelatococcus daeguensis,444444,Chelatococcus daeguensis,Bacteria,GCF_001619665.1
2589990,Vibrio sp. Scap24,2589990,Vibrio sp. Scap24,Bacteria,GCF_013394185.1
2820817,,,,,GCF_017798005.1
47886,Pseudomonas luteola,47886,Pseudomonas luteola,Bacteria,GCF_008693965.1
214,Helicobacter felis,214,Helicobacter felis,Bacteria,GCF_003670315.1
857252,Pseudomonas aestusnigri,857252,Pseudomonas aestusnigri,Bacteria,GCF_900108005.1
2596912,Glaciihabitans sp. INWT7,2596912,Glaciihabitans sp. INWT7,Bacteria,GCF_014217685.1
192812,Qipengyuania flava,192812,Qipengyuania flava,Bacteria,GCF_008932225.1
471,Acinetobacter calcoaceticus,471,Acinetobacter calcoaceticus,Bacteria,GCF_904887615.1
2762329,Bacillus sp. PAMC26543,2762329,Bacillus sp. PAMC26543,Bacteria,GCF_014250375.1
391905,Methylocystis heyeri,391905,Methylocystis heyeri,Bacteria,GCF_004802635.2
671990,Serratia sp. FGI94,671990,Serratia sp. FGI94,Bacteria,GCF_000330865.1
651740,Pseudomonas cedrina,651740,Pseudomonas cedrina,Bacteria,GCF_900104915.1
587753,Pseudomonas chlororaphis,587753,Pseudomonas chlororaphis,Bacteria,GCF_003731795.1
375286,Janthinobacterium sp. Marseille,375286,Janthinobacterium sp. Marseille,Bacteria,GCF_000013625.1
35788,Rickettsia africae,35788,Rickettsia africae,Bacteria,GCF_000023005.1
2781021,Lysobacter sp. H21R4,2781021,Lysobacter sp. H21R4,Bacteria,GCF_015277535.1
92942,Nostoc linckia,92942,Nostoc linckia,Bacteria,GCF_014696615.1
2654238,Pseudomonas sp. DTU12.1,2654238,Pseudomonas sp. DTU12.1,Bacteria,GCF_009873475.1
1945658,Capnocytophaga sp. H4358,1945658,Capnocytophaga sp. H4358,Bacteria,GCF_002302515.1
1769779,Microbulbifer aggregans,1769779,Microbulbifer aggregans,Bacteria,GCF_001750105.1
1501268,Prochlorococcus sp. MIT 0604,1501268,Prochlorococcus sp. MIT 0604,Bacteria,GCF_000757845.1
384,Rhizobium leguminosarum,384,Rhizobium leguminosarum,Bacteria,GCF_011128975.1
1671680,Rathayibacter tanaceti,1671680,Rathayibacter tanaceti,Bacteria,GCF_004340625.1
2653851,Rubrobacter sp. SCSIO 52909,2653851,Rubrobacter sp. SCSIO 52909,Bacteria,GCF_011492945.1
2663857,Nocardioides sp. zg-579,2663857,Nocardioides sp. zg-579,Bacteria,GCF_009707235.1
2058625,Undibacterium sp. YM2,2058625,Undibacterium sp. YM2,Bacteria,GCF_009937975.1
405212,Alicyclobacillus acidocaldarius,405212,Alicyclobacillus acidocaldarius,Bacteria,GCF_000024285.1
391036,Ehrlichia sp. HF,391036,Ehrlichia sp. HF,Bacteria,GCF_000632845.1
160,Treponema pallidum,160,Treponema pallidum,Bacteria,GCF_900291945.1
