nid,strain_name,specie_id,specie_name,k
77698,Fiji disease virus,77698,Fiji disease virus,Viruses
652810,Human papillomavirus type 85,652810,Human papillomavirus type 85,Viruses
220622,Sulfurospirillum sp. JPD-1,220622,Sulfurospirillum sp. JPD-1,Bacteria
2992242,,,,
2956233,,,,
2911538,,,,
2956062,,,,
760,Pasteurella stomatis,760,Pasteurella stomatis,Bacteria
2813371,,,,
1453760,Halovivax limisalsi,1453760,Halovivax limisalsi,Archaea
2849641,,,,
1503041,Arcanobacterium pinnipediorum,1503041,Arcanobacterium pinnipediorum,Bacteria
2829812,,,,
2875777,,,,
2560688,Pseudomonas virus nickie,2560688,Pseudomonas virus nickie,Viruses
2320870,Platycodon mild mottle virus,2320870,Platycodon mild mottle virus,Viruses
2878542,,,,
2961570,,,,
2830995,,,,
2853439,,,,
2955711,,,,
1985736,Xylella virus Prado,1985736,Xylella virus Prado,Viruses
10664,Enterobacteria phage T2,10664,Enterobacteria phage T2,Viruses
2955382,,,,
2355,unidentified bacterial endosymbiont,2355,unidentified bacterial endosymbiont,Bacteria
1016855,Banana streak UI virus,1016855,Banana streak UI virus,Viruses
2830999,,,,
2923375,,,,
2982692,,,,
2976823,,,,
2560570,Macacine gammaherpesvirus 11,2560570,Macacine gammaherpesvirus 11,Viruses
2560631,Pectobacterium virus My1,2560631,Pectobacterium virus My1,Viruses
2867264,,,,
2938948,,,,
2060973,Purpureocillium takamizusanense,2060973,Purpureocillium takamizusanense,Eukaryota
2845649,,,,
2845654,,,,
2956797,,,,
68886,Theileria orientalis,68886,Theileria orientalis,Eukaryota
112023,Streptococcus virus 7201,112023,Streptococcus virus 7201,Viruses
2915130,,,,
1985180,Bacillus virus JBP901,1985180,Bacillus virus JBP901,Viruses
2870839,,,,
2955602,,,,
339420,Blackberry chlorotic ringspot virus,339420,Blackberry chlorotic ringspot virus,Viruses
507763,Halomonas sp. MS1,507763,Halomonas sp. MS1,Bacteria
2865839,,,,
2956076,,,,
2560845,Xingshan alphanemrhavirus,2560845,Xingshan alphanemrhavirus,Viruses
2991499,,,,
2955923,,,,
2955727,,,,
2898796,,,,
2838850,,,,
2830667,,,,
2482763,Sphingopyxis sp. YF1,2482763,Sphingopyxis sp. YF1,Bacteria
764562,Brochothrix phage BL3,764562,Brochothrix phage BL3,Viruses
2913618,,,,
2879846,,,,
2851650,,,,
2845170,,,,
242527,Burkholderia virus Bcep22,242527,Burkholderia virus Bcep22,Viruses
2970464,,,,
2779360,,,,
2893471,,,,
2594494,,,,
2815361,,,,
