nid,strain_name,specie_id,specie_name,k
2895474,,,,
1982373,Roseobacter virus RDJL1,1982373,Roseobacter virus RDJL1,Viruses
2986924,,,,
2845170,,,,
4896,Schizosaccharomyces pombe,4896,Schizosaccharomyces pombe,Eukaryota
129727,Bovine papular stomatitis virus,129727,Bovine papular stomatitis virus,Viruses
2841264,,,,
2953746,,,,
2056258,,,,
2904122,,,,
2897773,,,,
931101,Cardinium endosymbiont of Oedothorax gibbosus,931101,Cardinium endosymbiont of Oedothorax gibbosus,Bacteria
2493633,Pseudomonas hydrolytica,2493633,Pseudomonas hydrolytica,Bacteria
1984796,Salmonella virus SPN3US,1984796,Salmonella virus SPN3US,Viruses
2732034,Salmonella virus STG2,2732034,Salmonella virus STG2,Viruses
2734109,Escherichia virus Goslar,2734109,Escherichia virus Goslar,Viruses
2929803,,,,
2734140,Prochlorococcus virus PSSM2,2734140,Prochlorococcus virus PSSM2,Viruses
2949996,,,,
1652028,Brachybacterium huguangmaarense,1652028,Brachybacterium huguangmaarense,Bacteria
2992143,,,,
2733956,Ralstonia virus ITL1,2733956,Ralstonia virus ITL1,Viruses
2956014,,,,
5665,Leishmania mexicana,5665,Leishmania mexicana,Eukaryota
2971235,,,,
1437009,Chenggangzhangella methanolivorans,1437009,Chenggangzhangella methanolivorans,Bacteria
2955990,,,,
2867408,,,,
1711685,Atractylodes mild mottle virus,1711685,Atractylodes mild mottle virus,Viruses
2973088,,,,
2902624,,,,
2954054,,,,
2560485,Gordonia virus BetterKatz,2560485,Gordonia virus BetterKatz,Viruses
2734145,Synechococcus virus ST4,2734145,Synechococcus virus ST4,Viruses
2905121,,,,
1982078,Arthrobacter virus DrRobert,1982078,Arthrobacter virus DrRobert,Viruses
562716,Pseudoalteromonas sp. CF6-2,562716,Pseudoalteromonas sp. CF6-2,Bacteria
1177752,Cordyline virus 3,1177752,Cordyline virus 3,Viruses
2884264,,,,
2962676,,,,
27288,Naumovozyma castellii,27288,Naumovozyma castellii,Eukaryota
1985698,Lettuce big-vein associated varicosavirus,1985698,Lettuce big-vein associated varicosavirus,Viruses
2972761,,,,
2956092,,,,
2867238,,,,
2734105,Faecalibacterium virus Epona,2734105,Faecalibacterium virus Epona,Viruses
2918171,,,,
2918527,,,,
2956035,,,,
1985337,Klebsiella virus KP15,1985337,Klebsiella virus KP15,Viruses
2801029,,,,
221402,Bisgaard Taxon 40,221402,Bisgaard Taxon 40,Bacteria
2961598,,,,
1955558,Noumeavirus,1955558,Noumeavirus,Viruses
2830990,,,,
1051631,Streptococcus phage YMC-2011,1051631,Streptococcus phage YMC-2011,Viruses
2949090,,,,
2956013,,,,
2212563,CrAssphage sp.,2212563,CrAssphage sp.,Viruses
437329,Burkholderia phage BcepGomr,437329,Burkholderia phage BcepGomr,Viruses
2560334,Bacillus virus Moonbeam,2560334,Bacillus virus Moonbeam,Viruses
1211644,Caulobacter virus Swift,1211644,Caulobacter virus Swift,Viruses
2953987,,,,
2733982,,,,
1655644,Parabacteroides phage YZ-2015a,1655644,Parabacteroides phage YZ-2015a,Viruses
2956026,,,,
176652,Invertebrate iridescent virus 6,176652,Invertebrate iridescent virus 6,Viruses
2925318,,,,
2023057,Orpheovirus IHUMI-LCC2,2023057,Orpheovirus IHUMI-LCC2,Viruses
2883107,,,,
2907343,,,,
1895333,Sulfolobus islandicus rudivirus 3,1895333,Sulfolobus islandicus rudivirus 3,Viruses
1980923,Ralstonia virus RSL1,1980923,Ralstonia virus RSL1,Viruses
5741,Giardia intestinalis,5741,Giardia intestinalis,Eukaryota
1923486,Wenling crustacean virus 3,1923486,Wenling crustacean virus 3,Viruses
1183239,Salisaeta icosahedral phage 1,1183239,Salisaeta icosahedral phage 1,Viruses
11864,Avian leukosis virus,11864,Avian leukosis virus,Viruses
223182,Halobacterium noricense,223182,Halobacterium noricense,Archaea
2992805,,,,
2861279,,,,
2991972,,,,
2976824,,,,
2843959,,,,
2902623,,,,
2894203,,,,
2884876,,,,
1572712,Geobacillus virus E3,1572712,Geobacillus virus E3,Viruses
2807096,,,,
2886932,,,,
2483673,Gordonia phage Octobien14,2483673,Gordonia phage Octobien14,Viruses
2895480,,,,
2955582,,,,
2962858,,,,
2955761,,,,
2865840,,,,
693997,Alphacoronavirus 1,693997,Alphacoronavirus 1,Viruses
2877940,,,,
1982240,Pseudomonas virus NP1,1982240,Pseudomonas virus NP1,Viruses
2908637,,,,
2978392,,,,
2758563,,,,
1918006,Bacillus virus Bigbertha,1918006,Bacillus virus Bigbertha,Viruses
2956315,,,,
1746061,Shayang fly virus 4,1746061,Shayang fly virus 4,Viruses
2873270,,,,
2614442,Pseudomonas sp. LPB0260,2614442,Pseudomonas sp. LPB0260,Bacteria
2987701,,,,
2845138,,,,
1981162,Escherichia virus Min27,1981162,Escherichia virus Min27,Viruses
2913412,,,,
2880934,,,,
2830995,,,,
1701404,Gokushovirinae GAIR4,1701404,Gokushovirinae GAIR4,Viruses
2895486,,,,
2955997,,,,
1985718,Acinetobacter virus AB3,1985718,Acinetobacter virus AB3,Viruses
2906456,,,,
58094,Choristoneura rosaceana nucleopolyhedrovirus,58094,Choristoneura rosaceana nucleopolyhedrovirus,Viruses
1982098,Pseudomonas virus PaMx11,1982098,Pseudomonas virus PaMx11,Viruses
2942908,,,,
768738,Elephant endotheliotropic herpesvirus 5,768738,Elephant endotheliotropic herpesvirus 5,Viruses
2934315,,,,
