e_id	copynumber
1.1.1.1	1
1.1.1.100	4
1.1.1.122	1
1.1.1.136	1
1.1.1.193	2
1.1.1.205	3
1.1.1.22	1
1.1.1.23	1
1.1.1.25	1
1.1.1.267	1
1.1.1.27	1
1.1.1.3	1
1.1.1.343	2
1.1.1.346	1
1.1.1.35	1
1.1.1.363	1
1.1.1.37	3
1.1.1.38	1
1.1.1.399	1
1.1.1.42	1
1.1.1.44	2
1.1.1.49	1
1.1.1.53	1
1.1.1.85	1
1.1.1.86	1
1.1.1.94	1
1.1.1.95	1
1.1.3.6	1
1.1.3.8	1
1.1.5.3	1
1.1.5.4	1
1.1.98.6	1
1.11.1.24	3
1.11.1.25	3
1.11.1.26	3
1.11.1.27	3
1.11.1.28	3
1.11.1.29	3
1.11.1.6	1
1.13.11.2	1
1.14.14.5	1
1.14.15.20	1
1.14.99.56	1
1.15.1.1	1
1.16.1.1	4
1.17.1.8	1
1.17.4.1	2
1.17.7.1	1
1.17.7.3	1
1.17.7.4	1
1.18.1.2	2
1.18.1.3	1
1.19.1.1	2
1.2.1.10	1
1.2.1.11	1
1.2.1.12	1
1.2.1.16	2
1.2.1.20	2
1.2.1.38	1
1.2.1.41	1
1.2.1.70	1
1.2.1.79	2
1.2.1.81	1
1.2.1.88	1
1.2.3.3	1
1.2.4.1	3
1.2.4.2	1
1.2.4.4	1
1.2.5.1	1
1.20.4.1	2
1.20.4.3	1
1.3.1.10	1
1.3.1.12	1
1.3.1.31	1
1.3.1.76	2
1.3.1.9	1
1.3.1.98	1
1.3.3.15	1
1.3.3.4	1
1.3.3.6	1
1.3.5.1	2
1.3.5.2	1
1.3.5.3	2
1.3.5.4	2
1.3.98.1	1
1.3.99.26	1
1.3.99.28	1
1.3.99.29	1
1.3.99.31	1
1.3.99.38	1
1.4.1.1	1
1.4.1.13	3
1.4.1.14	3
1.4.1.3	1
1.4.1.4	1
1.4.3.16	2
1.4.4.2	1
1.4.7.1	1
1.5.1.2	1
1.5.1.20	1
1.5.1.3	1
1.5.1.38	1
1.5.1.40	1
1.5.1.5	1
1.5.5.2	1
1.6.1.2	2
1.6.5.2	1
1.6.5.5	3
1.7.1.15	3
1.7.2.1	2
1.7.5.1	3
1.7.7.1	1
1.8.1.4	3
1.8.1.8	1
1.8.1.9	4
1.8.4.10	1
1.8.4.11	1
1.8.4.12	1
1.8.4.8	1
1.8.5.4	1
1.8.5.7	1
1.8.7.1	1
1.97.1.4	2
2.1.1.107	3
2.1.1.137	1
2.1.1.14	1
2.1.1.163	1
2.1.1.170	1
2.1.1.171	1
2.1.1.172	2
2.1.1.173	1
2.1.1.176	1
2.1.1.182	1
2.1.1.185	1
2.1.1.189	1
2.1.1.190	1
2.1.1.192	1
2.1.1.193	1
2.1.1.198	1
2.1.1.199	1
2.1.1.201	1
2.1.1.207	1
2.1.1.219	1
2.1.1.220	1
2.1.1.226	1
2.1.1.227	1
2.1.1.228	1
2.1.1.264	1
2.1.1.297	2
2.1.1.33	1
2.1.1.34	1
2.1.1.37	3
2.1.1.45	1
2.1.1.63	2
2.1.1.80	1
2.1.2.1	1
2.1.2.10	1
2.1.2.11	1
2.1.2.2	1
2.1.2.3	1
2.1.2.9	1
2.1.3.15	1
2.1.3.2	1
2.1.3.3	1
2.10.1.1	2
2.2.1.1	1
2.2.1.2	1
2.2.1.6	2
2.2.1.7	1
2.2.1.9	1
2.3.1.1	2
2.3.1.117	1
2.3.1.12	1
2.3.1.157	1
2.3.1.16	1
2.3.1.179	1
2.3.1.180	1
2.3.1.181	1
2.3.1.183	2
2.3.1.189	1
2.3.1.234	1
2.3.1.265	1
2.3.1.266	2
2.3.1.267	2
2.3.1.30	1
