e_id	copynumber
K00013	1
K00014	1
K00033	1
K00036	1
K00052	1
K00053	1
K00059	1
K00133	1
K00134	1
K00163	1
K00164	1
K00208	1
K00215	1
K00297	1
K00330	1
K00331	1
K00334	1
K00335	1
K00336	1
K00337	1
K00338	1
K00339	1
K00340	1
K00341	1
K00342	1
K00343	1
K00382	1
K00384	1
K00528	1
K00549	1
K00554	1
K00564	1
K00566	1
K00600	1
K00604	1
K00611	1
K00615	1
K00616	1
K00627	1
K00645	2
K00647	1
K00658	1
K00674	1
K00765	1
K00766	1
K00791	1
K00800	1
K00817	1
K00831	1
K00850	1
K00872	1
K00873	1
K00891	1
K00925	1
K00927	1
K00930	1
K00939	1
K00948	1
K00962	1
K00970	1
K00974	1
K00997	1
K01056	1
K01089	1
K01092	1
K01141	1
K01147	1
K01151	1
K01265	1
K01338	1
K01358	1
K01409	1
K01419	1
K01439	1
K01462	1
K01491	1
K01507	1
K01520	1
K01586	1
K01624	1
K01626	1
K01649	1
K01652	1
K01653	1
K01657	1
K01658	1
K01663	1
K01669	1
K01687	1
K01689	1
K01693	1
K01695	1
K01696	1
K01703	1
K01704	1
K01714	1
K01733	1
K01735	1
K01736	1
K01755	1
K01778	1
K01783	1
K01803	1
K01807	1
K01810	1
K01814	1
K01834	1
K01866	1
K01867	1
K01868	1
K01869	1
K01870	1
K01872	1
K01873	1
K01874	1
K01875	1
K01876	1
K01878	1
K01879	1
K01881	1
K01883	1
K01885	1
K01886	1
K01887	1
K01889	1
K01890	1
K01892	1
K01893	1
K01940	1
K01955	1
K01956	1
K01972	1
K02078	1
K02170	1
K02257	1
K02297	1
K02298	1
K02299	1
K02300	1
K02313	2
K02314	1
K02315	1
K02316	1
K02335	1
K02337	1
K02338	1
K02340	2
K02341	1
K02342	1
K02343	1
K02355	1
K02356	1
K02357	1
K02358	1
K02372	1
K02391	1
K02394	1
K02400	1
K02401	2
K02409	1
K02410	1
K02411	1
K02412	1
K02417	1
K02419	1
K02420	1
K02421	1
K02427	1
K02469	1
K02470	1
K02493	1
K02500	1
K02501	1
K02518	1
K02519	1
K02520	1
K02528	1
K02600	1
K02601	1
K02834	1
K02835	1
K02836	1
K02838	1
K02860	1
K02863	1
K02864	1
K02867	1
K02871	1
K02874	1
K02876	1
K02878	1
K02879	1
K02881	1
K02884	1
K02886	1
K02887	1
K02888	1
K02890	1
K02892	1
K02895	1
K02897	1
K02899	1
K02902	1
K02904	1
K02906	1
K02907	1
K02909	1
K02911	1
K02913	1
K02914	1
K02916	1
K02919	1
K02926	1
K02931	1
K02933	1
K02935	1
K02939	1
K02945	1
K02946	1
K02948	1
K02950	1
K02952	1
K02954	1
K02956	1
K02959	1
K02961	1
K02963	1
K02965	1
K02967	1
K02968	1
K02970	1
K02982	1
K02986	1
K02988	1
K02990	1
K02992	1
K02994	1
K02996	1
K03040	1
K03043	1
K03046	1
K03070	1
K03073	1
K03076	1
K03086	1
K03089	1
K03100	1
K03106	1
K03110	1
K03111	1
K03177	1
K03217	1
K03286	1
K03386	1
K03424	1
K03438	1
K03439	1
K03442	1
K03495	1
K03531	1
K03536	1
K03544	1
K03563	1
K03568	1
K03575	1
K03581	1
K03582	1
K03583	2
K03590	1
K03592	1
K03595	1
K03596	1
K03608	1
K03609	1
K03610	1
K03624	1
K03625	1
K03628	1
K03644	1
K03648	1
K03650	1
K03656	1
K03657	1
K03664	1
K03667	1
K03671	1
K03683	1
K03685	1
K03686	1
K03687	2
K03704	1
K03723	1
K03770	1
K03786	1
K03798	1
K03799	1
K03801	1
K03839	1
K03977	1
K03978	1
K03979	1
K04043	1
K04044	1
K04075	1
K04077	1
K04078	1
K04079	1
K04082	1
K04085	1
K04487	1
K04488	1
K04567	1
K04755	1
K04773	1
K05527	1
K05539	1
K05592	1
K05997	1
K06147	1
K06168	1
K06173	1
K06178	1
K06179	2
K06180	2
K06207	1
K06941	1
K06942	1
K06980	1
K07042	1
K07056	1
K07146	1
K07235	1
K07236	1
K07237	1
K07277	1
K07390	1
K07400	1
K07404	1
K07447	1
K08316	1
K09022	1
K09065	1
K09158	1
K09699	1
K09747	1
K09761	1
K09780	1
K09888	1
K09892	1
K09903	1
K10773	1
K10806	1
K11179	1
K11755	1
K11991	1
K12524	1
K13288	1
K13378	1
K13497	2
K13498	1
K13503	1
K13628	1
K13788	1
K14159	1
K14170	1
K14681	1
K14742	1
K15724	1
K18104	1
K18889	1
K18890	1
K22478	1
